City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,20.03,58,20,5.14,AU,1678493579
1,punta arenas,-53.15,-70.9167,8.06,57,75,6.17,CL,1678493579
2,kapaa,22.0752,-159.319,24.55,65,75,5.66,US,1678493580
3,pemangkat,1.1667,108.9667,24.52,91,97,2.92,ID,1678493580
4,torbay,47.6666,-52.7314,0.88,92,100,4.47,CA,1678493581
5,tautira,-17.7333,-149.15,27.91,79,100,7.64,PF,1678493582
6,kamina,-8.7386,24.9906,17.86,97,98,2.1,CD,1678493583
7,yerbogachen,61.2767,108.0108,-31.88,100,35,1.81,RU,1678493539
8,vaini,-21.2,-175.2,25.83,64,77,6.27,TO,1678493586
9,grand-lahou,5.1367,-5.0242,26.62,85,100,0.52,CI,1678493586
10,yellowknife,62.456,-114.3525,-10.83,92,100,0.53,CA,1678493588
11,georgetown,5.4112,100.3354,26.96,74,20,1.54,MY,1678493572
12,padang,-0.9492,100.3543,25.03,88,61,1.52,ID,1678493590
13,esperance,-33.8667,121.9,19.1,71,23,4.01,AU,1678493591
14,rikitea,-23.1203,-134.9692,26.34,80,1,11.43,PF,1678493592
15,shestakovo,56.4915,103.96,-25.54,100,98,1.93,RU,1678493542
16,bluff,-46.6,168.3333,16.84,69,96,8.71,NZ,1678493594
17,kulhudhuffushi,6.6221,73.07,27.2,77,8,5.56,MV,1678493597
18,kodiak,57.79,-152.4072,5.73,33,0,6.17,US,1678493512
19,neumunster,54.0667,9.9833,0.71,95,100,1.34,DE,1678493598
20,ushuaia,-54.8,-68.3,6.79,88,41,3.24,AR,1678493600
21,maniitsoq,65.4167,-52.9,-8.62,83,92,3.38,GL,1678493601
22,januaria,-15.4833,-44.3667,25.8,52,98,0.69,BR,1678493602
23,qasigiannguit,68.8193,-51.1922,-6.86,73,1,2.92,GL,1678493602
24,husavik,66.0449,-17.3389,-9.81,70,100,9.66,IS,1678493603
25,grajau,-5.8194,-46.1386,23.3,95,86,1.48,BR,1678493604
26,busselton,-33.65,115.3333,17.78,74,33,3.84,AU,1678493605
27,lebu,-37.6167,-73.65,14.7,81,0,4.38,CL,1678493606
28,pisco,-13.7,-76.2167,24.03,83,75,2.57,PE,1678493523
29,klaksvik,62.2266,-6.589,-4.49,59,99,9.98,FO,1678493607
30,port elizabeth,-33.918,25.5701,19.62,95,2,12.07,ZA,1678493608
31,hovd,48.0056,91.6419,-7.77,48,13,0.7,MN,1678493609
32,batticaloa,7.7102,81.6924,25.91,82,100,3.94,LK,1678493610
33,hermanus,-34.4187,19.2345,14.33,74,43,5.34,ZA,1678493611
34,narsaq,60.9167,-46.05,2.12,68,72,4.51,GL,1678493612
35,tuktoyaktuk,69.4541,-133.0374,-22.14,98,93,4.83,CA,1678493613
36,kozhevnikovo,56.2589,83.9714,-5.72,82,64,4.57,RU,1678493614
37,coahuayana,18.7333,-103.6833,24.31,79,77,1.94,MX,1678493615
38,portland,45.5234,-122.6762,8.64,79,75,5.14,US,1678493094
39,valparaiso,-33.0393,-71.6273,15.8,88,75,2.57,CL,1678493617
40,vila velha,-20.3297,-40.2925,25.97,87,40,3.09,BR,1678493618
41,gamba,-2.65,10.0,24.84,88,96,1.04,GA,1678493619
42,oranjemund,-28.55,16.4333,15.91,90,0,2.04,NA,1678493620
43,zhanaozen,43.3,52.8,6.36,88,6,2.25,KZ,1678493620
44,hami,42.8,93.45,2.65,26,0,4.11,CN,1678493474
45,puerto escondido,15.85,-97.0667,27.46,74,0,2.57,MX,1678493622
46,saskylakh,71.9167,114.0833,-31.07,97,53,3.58,RU,1678493623
47,albany,42.6001,-73.9662,3.91,78,100,1.88,US,1678493624
48,puerto ayora,-0.7393,-90.3518,25.31,96,65,1.34,EC,1678493625
49,castro,-24.7911,-50.0119,17.11,99,100,2.68,BR,1678493625
50,san patricio,28.017,-97.5169,27.05,61,89,4.78,US,1678493626
51,waipawa,-41.4122,175.5153,19.0,61,12,2.55,NZ,1678493361
52,hithadhoo,-0.6,73.0833,27.48,74,98,3.12,MV,1678493627
53,mataura,-46.1927,168.8643,20.0,44,98,4.27,NZ,1678493628
54,carnarvon,-24.8667,113.6333,23.76,62,0,8.51,AU,1678493628
55,rize,40.9044,40.8949,1.48,74,89,3.97,TR,1678493629
56,ruteng,-8.6136,120.4721,20.91,71,16,0.41,ID,1678493629
57,westport,41.1415,-73.3579,6.75,81,100,4.63,US,1678493345
58,metro,-5.1131,105.3067,23.52,94,78,2.18,ID,1678493631
59,santa cruz del norte,23.1539,-81.9236,24.37,66,37,4.33,CU,1678493631
60,bambous virieux,-20.3428,57.7575,25.12,84,57,6.54,MU,1678493632
61,chuy,-33.6971,-53.4616,23.19,90,31,5.08,UY,1678493633
62,barrow,71.2906,-156.7887,-11.99,85,100,4.63,US,1678493633
63,varhaug,58.6147,5.6457,-0.62,59,27,2.05,NO,1678493634
64,avarua,-21.2078,-159.775,27.03,78,75,5.66,CK,1678493634
65,azare,11.6765,10.1948,25.88,15,74,4.21,NG,1678493635
66,atuona,-9.8,-139.0333,26.57,73,5,2.76,PF,1678493636
67,port lincoln,-34.7333,135.8667,18.77,72,73,3.94,AU,1678493636
68,sao joao da barra,-21.6403,-41.0511,24.88,86,64,5.96,BR,1678493420
69,nanortalik,60.1432,-45.2371,-3.84,73,9,3.54,GL,1678493637
70,taksimo,56.3444,114.8794,-24.02,82,100,2.55,RU,1678493638
71,tiarei,-17.5333,-149.3333,30.01,80,100,7.5,PF,1678493638
72,ostrovnoy,68.0531,39.5131,-13.73,97,86,4.94,RU,1678493639
73,tabou,4.423,-7.3528,25.62,86,100,1.79,CI,1678493640
74,cabo san lucas,22.8909,-109.9124,31.17,30,0,5.14,MX,1678493640
75,adrar,20.5022,-10.0711,24.15,8,0,4.43,MR,1678493642
76,kavieng,-2.5744,150.7967,28.31,77,100,3.03,PG,1678493642
77,cape town,-33.9258,18.4232,20.21,81,67,1.79,ZA,1678493643
78,jamestown,42.097,-79.2353,0.01,100,100,5.66,US,1678493565
79,hilo,19.7297,-155.09,24.85,76,100,4.12,US,1678493448
80,rio gallegos,-51.6226,-69.2181,12.34,55,100,7.6,AR,1678493645
81,cidreira,-30.1811,-50.2056,24.55,88,3,4.59,BR,1678493646
82,aberdeen,57.1437,-2.0981,0.36,80,40,3.6,GB,1678493647
83,lalmohan,22.3384,90.7419,23.7,49,86,4.43,BD,1678493647
84,souillac,-20.5167,57.5167,25.78,84,71,5.76,MU,1678493648
85,tomatlan,19.9333,-105.25,26.07,62,5,3.44,MX,1678493649
86,nador,35.174,-2.9287,18.14,39,0,0.51,MA,1678493650
87,provideniya,64.3833,-173.3,-0.74,97,100,4.22,RU,1678493651
